Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
10,Total. Milers d'euros,Sant Martí,1,Provençals del Poblenou,247.6,71,71,2022
10,Total. Milers d'euros,Sant Martí,1,Sant Martí de Provençals,202.9,72,72,2022
10,Total. Milers d'euros,Sant Martí,1,la Verneda i la Pau,160.7,73,73,2022
1,Nou. Milers d'euros,Ciutat Vella,1,el Raval,--,1,74,2022
1,Nou. Milers d'euros,Ciutat Vella,1,el Barri Gòtic,1391.7,2,75,2022
1,Nou. Milers d'euros,Ciutat Vella,1,la Barceloneta,154.2,3,76,2022
1,Nou. Milers d'euros,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",312.0,4,77,2022
2,Nou. Milers d'euros,Eixample,1,el Fort Pienc,414.8,5,78,2022
2,Nou. Milers d'euros,Eixample,1,la Sagrada Família,--,6,79,2022
2,Nou. Milers d'euros,Eixample,1,la Dreta de l'Eixample,899.8,7,80,2022
2,Nou. Milers d'euros,Eixample,1,l'Antiga Esquerra de l'Eixample,508.9,8,81,2022
2,Nou. Milers d'euros,Eixample,1,la Nova Esquerra de l'Eixample,305.3,9,82,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,el Poble Sec,--,11,84,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,la Marina del Prat Vermell,--,12,85,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,la Marina de Port,--,13,86,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,la Font de la Guatlla,195.4,14,87,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,Hostafrancs,265.5,15,88,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,la Bordeta,--,16,89,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,Sants - Badal,204.8,17,90,2022
3,Nou. Milers d'euros,Sants-Montjuïc,1,Sants,216.7,18,91,2022
4,Nou. Milers d'euros,Les Corts,1,les Corts,605.9,19,92,2022
4,Nou. Milers d'euros,Les Corts,1,la Maternitat i Sant Ramon,--,20,93,2022
4,Nou. Milers d'euros,Les Corts,1,Pedralbes,356.6,21,94,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",--,22,95,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,Sarrià,587.0,23,96,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,les Tres Torres,--,24,97,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,541.4,25,98,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,823.4,26,99,2022
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,1,el Putxet i el Farró,669.3,27,100,2022
6,Nou. Milers d'euros,Gràcia,1,Vallcarca i els Penitents,291.3,28,101,2022
6,Nou. Milers d'euros,Gràcia,1,el Coll,245.3,29,102,2022
6,Nou. Milers d'euros,Gràcia,1,la Salut,--,30,103,2022
6,Nou. Milers d'euros,Gràcia,1,la Vila de Gràcia,--,31,104,2022
6,Nou. Milers d'euros,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,--,32,105,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,el Baix Guinardó,--,33,106,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,Can Baró,--,34,107,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,el Guinardó,454.8,35,108,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,la Font d'en Fargues,364.7,36,109,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,el Carmel,150.6,37,110,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,la Teixonera,193.1,38,111,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,Sant Genís dels Agudells,--,39,112,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,Montbau,--,40,113,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,la Vall d'Hebron,--,41,114,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,la Clota,--,42,115,2022
7,Nou. Milers d'euros,Horta-Guinardó,1,Horta,245.1,43,116,2022
8,Nou. Milers d'euros,Nou Barris,1,Vilapicina i la Torre Llobeta,--,44,117,2022
8,Nou. Milers d'euros,Nou Barris,1,Porta,--,45,118,2022
8,Nou. Milers d'euros,Nou Barris,1,el Turó de la Peira,--,46,119,2022
8,Nou. Milers d'euros,Nou Barris,1,Can Peguera,--,47,120,2022
8,Nou. Milers d'euros,Nou Barris,1,la Guineueta,--,48,121,2022
8,Nou. Milers d'euros,Nou Barris,1,Canyelles,--,49,122,2022
8,Nou. Milers d'euros,Nou Barris,1,les Roquetes,--,50,123,2022
8,Nou. Milers d'euros,Nou Barris,1,Verdun,--,51,124,2022
8,Nou. Milers d'euros,Nou Barris,1,la Prosperitat,--,52,125,2022
8,Nou. Milers d'euros,Nou Barris,1,la Trinitat Nova,--,53,126,2022
8,Nou. Milers d'euros,Nou Barris,1,Torre Baró,--,54,127,2022
8,Nou. Milers d'euros,Nou Barris,1,Ciutat Meridiana,--,55,128,2022
8,Nou. Milers d'euros,Nou Barris,1,Vallbona,--,56,129,2022
9,Nou. Milers d'euros,Sant Andreu,1,la Trinitat Vella,--,57,130,2022
9,Nou. Milers d'euros,Sant Andreu,1,Baró de Viver,--,58,131,2022
9,Nou. Milers d'euros,Sant Andreu,1,el Bon Pastor,--,59,132,2022
9,Nou. Milers d'euros,Sant Andreu,1,Sant Andreu,390.7,60,133,2022
9,Nou. Milers d'euros,Sant Andreu,1,la Sagrera,--,61,134,2022
9,Nou. Milers d'euros,Sant Andreu,1,el Congrés i els Indians,407.5,62,135,2022
9,Nou. Milers d'euros,Sant Andreu,1,Navas,--,63,136,2022
10,Nou. Milers d'euros,Sant Martí,1,el Camp de l'Arpa del Clot,--,64,137,2022
10,Nou. Milers d'euros,Sant Martí,1,el Clot,--,65,138,2022
10,Nou. Milers d'euros,Sant Martí,1,el Parc i la Llacuna del Poblenou,612.4,66,139,2022
10,Nou. Milers d'euros,Sant Martí,1,la Vila Olímpica del Poblenou,593.0,67,140,2022
10,Nou. Milers d'euros,Sant Martí,1,el Poblenou,466.0,68,141,2022
10,Nou. Milers d'euros,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,--,69,142,2022
10,Nou. Milers d'euros,Sant Martí,1,el Besòs i el Maresme,405.4,70,143,2022
10,Nou. Milers d'euros,Sant Martí,1,Provençals del Poblenou,174.2,71,144,2022
10,Nou. Milers d'euros,Sant Martí,1,Sant Martí de Provençals,--,72,145,2022
10,Nou. Milers d'euros,Sant Martí,1,la Verneda i la Pau,--,73,146,2022
1,Usat. Milers d'euros,Ciutat Vella,1,el Raval,226.1,1,147,2022
1,Usat. Milers d'euros,Ciutat Vella,1,el Barri Gòtic,393.1,2,148,2022
1,Usat. Milers d'euros,Ciutat Vella,1,la Barceloneta,222.4,3,149,2022
1,Usat. Milers d'euros,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",357.5,4,150,2022
2,Usat. Milers d'euros,Eixample,1,el Fort Pienc,334.1,5,151,2022
2,Usat. Milers d'euros,Eixample,1,la Sagrada Família,302.6,6,152,2022
2,Usat. Milers d'euros,Eixample,1,la Dreta de l'Eixample,705.3,7,153,2022
2,Usat. Milers d'euros,Eixample,1,l'Antiga Esquerra de l'Eixample,464.6,8,154,2022
2,Usat. Milers d'euros,Eixample,1,la Nova Esquerra de l'Eixample,333.5,9,155,2022
2,Usat. Milers d'euros,Eixample,1,Sant Antoni,374.1,10,156,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,el Poble Sec,256.6,11,157,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,la Marina del Prat Vermell,--,12,158,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,la Marina de Port,233.8,13,159,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,la Font de la Guatlla,245.4,14,160,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,Hostafrancs,241.3,15,161,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,la Bordeta,172.0,16,162,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,Sants - Badal,259.7,17,163,2022
3,Usat. Milers d'euros,Sants-Montjuïc,1,Sants,266.6,18,164,2022
4,Usat. Milers d'euros,Les Corts,1,les Corts,436.5,19,165,2022
4,Usat. Milers d'euros,Les Corts,1,la Maternitat i Sant Ramon,336.3,20,166,2022
4,Usat. Milers d'euros,Les Corts,1,Pedralbes,1144.1,21,167,2022
8,Usat. Milers d'euros,Nou Barris,1,Canyelles,188.8,49,195,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",353.8,22,168,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,Sarrià,743.1,23,169,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,les Tres Torres,889.9,24,170,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,743.3,25,171,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,693.7,26,172,2022
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,1,el Putxet i el Farró,496.4,27,173,2022
6,Usat. Milers d'euros,Gràcia,1,Vallcarca i els Penitents,298.6,28,174,2022
6,Usat. Milers d'euros,Gràcia,1,el Coll,196.2,29,175,2022
6,Usat. Milers d'euros,Gràcia,1,la Salut,286.0,30,176,2022
6,Usat. Milers d'euros,Gràcia,1,la Vila de Gràcia,388.2,31,177,2022
6,Usat. Milers d'euros,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,330.3,32,178,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,el Baix Guinardó,279.9,33,179,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,Can Baró,234.2,34,180,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,el Guinardó,257.8,35,181,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,la Font d'en Fargues,253.9,36,182,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,el Carmel,149.3,37,183,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,la Teixonera,282.1,38,184,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,Sant Genís dels Agudells,137.0,39,185,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,Montbau,165.8,40,186,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,la Vall d'Hebron,287.3,41,187,2022
