Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
1,Total. Milers d'euros,Ciutat Vella,el Raval,262.8,1,1,2018
1,Total. Milers d'euros,Ciutat Vella,el Barri Gòtic,541.6,2,2,2018
1,Total. Milers d'euros,Ciutat Vella,la Barceloneta,219.7,3,3,2018
1,Total. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",336.9,4,4,2018
2,Total. Milers d'euros,Eixample,el Fort Pienc,408.1,5,5,2018
2,Total. Milers d'euros,Eixample,la Sagrada Família,271.5,6,6,2018
2,Total. Milers d'euros,Eixample,la Dreta de l'Eixample,520.8,7,7,2018
2,Total. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,388,8,8,2018
2,Total. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,305,9,9,2018
2,Total. Milers d'euros,Eixample,Sant Antoni,285.9,10,10,2018
3,Total. Milers d'euros,Sants-Montjuïc,el Poble Sec,225.5,11,11,2018
3,Total. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,89.3,12,12,2018
3,Total. Milers d'euros,Sants-Montjuïc,la Marina de Port,193.3,13,13,2018
3,Total. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,301.9,14,14,2018
3,Total. Milers d'euros,Sants-Montjuïc,Hostafrancs,247.1,15,15,2018
3,Total. Milers d'euros,Sants-Montjuïc,la Bordeta,263.7,16,16,2018
3,Total. Milers d'euros,Sants-Montjuïc,Sants - Badal,234.4,17,17,2018
3,Total. Milers d'euros,Sants-Montjuïc,Sants,241.3,18,18,2018
4,Total. Milers d'euros,Les Corts,les Corts,383.4,19,19,2018
4,Total. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,361.6,20,20,2018
4,Total. Milers d'euros,Les Corts,Pedralbes,1000.9,21,21,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",383.1,22,22,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,692.7,23,23,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,844.7,24,24,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,652.5,25,25,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,644.4,26,26,2018
5,Total. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,545.5,27,27,2018
6,Total. Milers d'euros,Gràcia,Vallcarca i els Penitents,293.6,28,28,2018
6,Total. Milers d'euros,Gràcia,el Coll,252.8,29,29,2018
6,Total. Milers d'euros,Gràcia,la Salut,320,30,30,2018
6,Total. Milers d'euros,Gràcia,la Vila de Gràcia,369.2,31,31,2018
6,Total. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,362.3,32,32,2018
7,Total. Milers d'euros,Horta-Guinardó,el Baix Guinardó,290.5,33,33,2018
7,Total. Milers d'euros,Horta-Guinardó,Can Baró,212.7,34,34,2018
7,Total. Milers d'euros,Horta-Guinardó,el Guinardó,228,35,35,2018
7,Total. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,302.5,36,36,2018
7,Total. Milers d'euros,Horta-Guinardó,el Carmel,158.9,37,37,2018
7,Total. Milers d'euros,Horta-Guinardó,la Teixonera,162.1,38,38,2018
7,Total. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,162.3,39,39,2018
7,Total. Milers d'euros,Horta-Guinardó,Montbau,156.5,40,40,2018
7,Total. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,240,41,41,2018
7,Total. Milers d'euros,Horta-Guinardó,la Clota,150.7,42,42,2018
7,Total. Milers d'euros,Horta-Guinardó,Horta,237.1,43,43,2018
8,Total. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,203.1,44,44,2018
8,Total. Milers d'euros,Nou Barris,Porta,159.9,45,45,2018
8,Total. Milers d'euros,Nou Barris,el Turó de la Peira,131.5,46,46,2018
8,Total. Milers d'euros,Nou Barris,Can Peguera,101.8,47,47,2018
8,Total. Milers d'euros,Nou Barris,la Guineueta,192,48,48,2018
8,Total. Milers d'euros,Nou Barris,Canyelles,155.1,49,49,2018
8,Total. Milers d'euros,Nou Barris,les Roquetes,178.1,50,50,2018
8,Total. Milers d'euros,Nou Barris,Verdun,136.2,51,51,2018
8,Total. Milers d'euros,Nou Barris,la Prosperitat,132.6,52,52,2018
8,Total. Milers d'euros,Nou Barris,la Trinitat Nova,85.9,53,53,2018
8,Total. Milers d'euros,Nou Barris,Torre Baró,82,54,54,2018
8,Total. Milers d'euros,Nou Barris,Ciutat Meridiana,89.5,55,55,2018
8,Total. Milers d'euros,Nou Barris,Vallbona,162.5,56,56,2018
9,Total. Milers d'euros,Sant Andreu,la Trinitat Vella,149.6,57,57,2018
9,Total. Milers d'euros,Sant Andreu,Baró de Viver,281.3,58,58,2018
9,Total. Milers d'euros,Sant Andreu,el Bon Pastor,157.2,59,59,2018
9,Total. Milers d'euros,Sant Andreu,Sant Andreu,221.9,60,60,2018
9,Total. Milers d'euros,Sant Andreu,la Sagrera,279.4,61,61,2018
9,Total. Milers d'euros,Sant Andreu,el Congrés i els Indians,190.9,62,62,2018
9,Total. Milers d'euros,Sant Andreu,Navas,388.4,63,63,2018
10,Total. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,326.5,64,64,2018
10,Total. Milers d'euros,Sant Martí,el Clot,372.8,65,65,2018
10,Total. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,286.7,66,66,2018
10,Total. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,483.7,67,67,2018
10,Total. Milers d'euros,Sant Martí,el Poblenou,367,68,68,2018
10,Total. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,556.3,69,69,2018
10,Total. Milers d'euros,Sant Martí,el Besòs i el Maresme,227.9,70,70,2018
10,Total. Milers d'euros,Sant Martí,Provençals del Poblenou,270.1,71,71,2018
10,Total. Milers d'euros,Sant Martí,Sant Martí de Provençals,254,72,72,2018
10,Total. Milers d'euros,Sant Martí,la Verneda i la Pau,158.9,73,73,2018
1,Nou. Milers d'euros,Ciutat Vella,el Raval,525,1,74,2018
1,Nou. Milers d'euros,Ciutat Vella,el Barri Gòtic,1015.8,2,75,2018
1,Nou. Milers d'euros,Ciutat Vella,la Barceloneta,191.3,3,76,2018
1,Nou. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",485.6,4,77,2018
2,Nou. Milers d'euros,Eixample,el Fort Pienc,405.1,5,78,2018
2,Nou. Milers d'euros,Eixample,la Sagrada Família,NA,6,79,2018
2,Nou. Milers d'euros,Eixample,la Dreta de l'Eixample,271.5,7,80,2018
2,Nou. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,435,8,81,2018
2,Nou. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,270,9,82,2018
2,Nou. Milers d'euros,Eixample,Sant Antoni,246.7,10,83,2018
3,Nou. Milers d'euros,Sants-Montjuïc,el Poble Sec,NA,11,84,2018
3,Nou. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,NA,12,85,2018
10,Total. Euros/m2 construït,Sant Martí,el Poblenou,4371.4,68,287,2018
3,Nou. Milers d'euros,Sants-Montjuïc,la Marina de Port,NA,13,86,2018
3,Nou. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,NA,14,87,2018
3,Nou. Milers d'euros,Sants-Montjuïc,Hostafrancs,281.4,15,88,2018
3,Nou. Milers d'euros,Sants-Montjuïc,la Bordeta,270,16,89,2018
3,Nou. Milers d'euros,Sants-Montjuïc,Sants - Badal,286.8,17,90,2018
3,Nou. Milers d'euros,Sants-Montjuïc,Sants,446.7,18,91,2018
4,Nou. Milers d'euros,Les Corts,les Corts,552.6,19,92,2018
4,Nou. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,319.8,20,93,2018
4,Nou. Milers d'euros,Les Corts,Pedralbes,NA,21,94,2018
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",NA,22,95,2018
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,854,23,96,2018
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,NA,24,97,2018
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,639,25,98,2018
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,591.2,26,99,2018
