Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,561.8,27,100,2018
6,Nou. Milers d'euros,Gràcia,Vallcarca i els Penitents,361.1,28,101,2018
6,Nou. Milers d'euros,Gràcia,el Coll,184.4,29,102,2018
6,Nou. Milers d'euros,Gràcia,la Salut,NA,30,103,2018
6,Nou. Milers d'euros,Gràcia,la Vila de Gràcia,412.9,31,104,2018
6,Nou. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,NA,32,105,2018
7,Nou. Milers d'euros,Horta-Guinardó,el Baix Guinardó,328.3,33,106,2018
7,Nou. Milers d'euros,Horta-Guinardó,Can Baró,NA,34,107,2018
7,Nou. Milers d'euros,Horta-Guinardó,el Guinardó,290.3,35,108,2018
7,Nou. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,NA,36,109,2018
7,Nou. Milers d'euros,Horta-Guinardó,el Carmel,166.5,37,110,2018
7,Nou. Milers d'euros,Horta-Guinardó,la Teixonera,129.2,38,111,2018
7,Nou. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,143,39,112,2018
7,Nou. Milers d'euros,Horta-Guinardó,Montbau,161.4,40,113,2018
7,Nou. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,150,41,114,2018
7,Nou. Milers d'euros,Horta-Guinardó,la Clota,61.4,42,115,2018
7,Nou. Milers d'euros,Horta-Guinardó,Horta,225,43,116,2018
8,Nou. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,NA,44,117,2018
8,Nou. Milers d'euros,Nou Barris,Porta,NA,45,118,2018
8,Nou. Milers d'euros,Nou Barris,el Turó de la Peira,NA,46,119,2018
8,Nou. Milers d'euros,Nou Barris,Can Peguera,NA,47,120,2018
8,Nou. Milers d'euros,Nou Barris,la Guineueta,NA,48,121,2018
8,Nou. Milers d'euros,Nou Barris,Canyelles,NA,49,122,2018
8,Nou. Milers d'euros,Nou Barris,les Roquetes,NA,50,123,2018
8,Nou. Milers d'euros,Nou Barris,Verdun,NA,51,124,2018
8,Nou. Milers d'euros,Nou Barris,la Prosperitat,NA,52,125,2018
8,Nou. Milers d'euros,Nou Barris,la Trinitat Nova,NA,53,126,2018
8,Nou. Milers d'euros,Nou Barris,Torre Baró,NA,54,127,2018
8,Nou. Milers d'euros,Nou Barris,Ciutat Meridiana,NA,55,128,2018
8,Nou. Milers d'euros,Nou Barris,Vallbona,NA,56,129,2018
9,Nou. Milers d'euros,Sant Andreu,la Trinitat Vella,NA,57,130,2018
9,Nou. Milers d'euros,Sant Andreu,Baró de Viver,NA,58,131,2018
9,Nou. Milers d'euros,Sant Andreu,el Bon Pastor,211.1,59,132,2018
9,Nou. Milers d'euros,Sant Andreu,Sant Andreu,379.7,60,133,2018
9,Nou. Milers d'euros,Sant Andreu,la Sagrera,NA,61,134,2018
9,Nou. Milers d'euros,Sant Andreu,el Congrés i els Indians,155.5,62,135,2018
9,Nou. Milers d'euros,Sant Andreu,Navas,259.8,63,136,2018
10,Nou. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,430.8,64,137,2018
10,Nou. Milers d'euros,Sant Martí,el Clot,516.5,65,138,2018
10,Nou. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,NA,66,139,2018
10,Nou. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,NA,67,140,2018
10,Nou. Milers d'euros,Sant Martí,el Poblenou,427.3,68,141,2018
10,Nou. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,NA,69,142,2018
10,Nou. Milers d'euros,Sant Martí,el Besòs i el Maresme,355.1,70,143,2018
10,Nou. Milers d'euros,Sant Martí,Provençals del Poblenou,224.5,71,144,2018
10,Nou. Milers d'euros,Sant Martí,Sant Martí de Provençals,210,72,145,2018
10,Nou. Milers d'euros,Sant Martí,la Verneda i la Pau,133.1,73,146,2018
1,Usat. Milers d'euros,Ciutat Vella,el Raval,246.5,1,147,2018
1,Usat. Milers d'euros,Ciutat Vella,el Barri Gòtic,425,2,148,2018
1,Usat. Milers d'euros,Ciutat Vella,la Barceloneta,224.7,3,149,2018
1,Usat. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",323.8,4,150,2018
2,Usat. Milers d'euros,Eixample,el Fort Pienc,408.1,5,151,2018
2,Usat. Milers d'euros,Eixample,la Sagrada Família,271.5,6,152,2018
2,Usat. Milers d'euros,Eixample,la Dreta de l'Eixample,540.9,7,153,2018
2,Usat. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,382.8,8,154,2018
2,Usat. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,307.3,9,155,2018
2,Usat. Milers d'euros,Eixample,Sant Antoni,287.8,10,156,2018
3,Usat. Milers d'euros,Sants-Montjuïc,el Poble Sec,225.2,11,157,2018
3,Usat. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,89.3,12,158,2018
3,Usat. Milers d'euros,Sants-Montjuïc,la Marina de Port,193.3,13,159,2018
3,Usat. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,301.9,14,160,2018
3,Usat. Milers d'euros,Sants-Montjuïc,Hostafrancs,241.1,15,161,2018
3,Usat. Milers d'euros,Sants-Montjuïc,la Bordeta,228.6,16,162,2018
3,Usat. Milers d'euros,Sants-Montjuïc,Sants - Badal,215.6,17,163,2018
3,Usat. Milers d'euros,Sants-Montjuïc,Sants,231.3,18,164,2018
4,Usat. Milers d'euros,Les Corts,les Corts,363.9,19,165,2018
4,Usat. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,367.1,20,166,2018
4,Usat. Milers d'euros,Les Corts,Pedralbes,990.9,21,167,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",383.1,22,168,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,686.1,23,169,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,849.1,24,170,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,655.9,25,171,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,652.2,26,172,2018
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,541.3,27,173,2018
6,Usat. Milers d'euros,Gràcia,Vallcarca i els Penitents,277.5,28,174,2018
6,Usat. Milers d'euros,Gràcia,el Coll,262.5,29,175,2018
6,Usat. Milers d'euros,Gràcia,la Salut,316,30,176,2018
6,Usat. Milers d'euros,Gràcia,la Vila de Gràcia,365.8,31,177,2018
6,Usat. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,362.3,32,178,2018
7,Usat. Milers d'euros,Horta-Guinardó,el Baix Guinardó,289.7,33,179,2018
7,Usat. Milers d'euros,Horta-Guinardó,Can Baró,212.7,34,180,2018
7,Usat. Milers d'euros,Horta-Guinardó,el Guinardó,225.1,35,181,2018
7,Usat. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,302.5,36,182,2018
7,Usat. Milers d'euros,Horta-Guinardó,el Carmel,155.9,37,183,2018
7,Usat. Milers d'euros,Horta-Guinardó,la Teixonera,175.9,38,184,2018
7,Usat. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,167.7,39,185,2018
7,Usat. Milers d'euros,Horta-Guinardó,Montbau,154.9,40,186,2018
7,Usat. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,248.2,41,187,2018
7,Usat. Milers d'euros,Horta-Guinardó,la Clota,240,42,188,2018
7,Usat. Milers d'euros,Horta-Guinardó,Horta,240.9,43,189,2018
8,Usat. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,199.5,44,190,2018
8,Usat. Milers d'euros,Nou Barris,Porta,159.9,45,191,2018
8,Usat. Milers d'euros,Nou Barris,el Turó de la Peira,131.5,46,192,2018
8,Usat. Milers d'euros,Nou Barris,Can Peguera,101.8,47,193,2018
8,Usat. Milers d'euros,Nou Barris,la Guineueta,192,48,194,2018
8,Usat. Milers d'euros,Nou Barris,Canyelles,155.1,49,195,2018
8,Usat. Milers d'euros,Nou Barris,les Roquetes,178.1,50,196,2018
8,Usat. Milers d'euros,Nou Barris,Verdun,136.2,51,197,2018
8,Usat. Milers d'euros,Nou Barris,la Prosperitat,132.6,52,198,2018
8,Usat. Milers d'euros,Nou Barris,la Trinitat Nova,85.9,53,199,2018
8,Usat. Milers d'euros,Nou Barris,Torre Baró,82,54,200,2018
8,Usat. Milers d'euros,Nou Barris,Ciutat Meridiana,89.5,55,201,2018
8,Usat. Milers d'euros,Nou Barris,Vallbona,162.5,56,202,2018
9,Usat. Milers d'euros,Sant Andreu,la Trinitat Vella,149.6,57,203,2018
9,Usat. Milers d'euros,Sant Andreu,Baró de Viver,281.3,58,204,2018
9,Usat. Milers d'euros,Sant Andreu,el Bon Pastor,151.7,59,205,2018
9,Usat. Milers d'euros,Sant Andreu,Sant Andreu,214.5,60,206,2018
9,Usat. Milers d'euros,Sant Andreu,la Sagrera,279.4,61,207,2018
9,Usat. Milers d'euros,Sant Andreu,el Congrés i els Indians,200,62,208,2018
9,Usat. Milers d'euros,Sant Andreu,Navas,391.7,63,209,2018
10,Usat. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,323.1,64,210,2018
10,Usat. Milers d'euros,Sant Martí,el Clot,362.9,65,211,2018
10,Usat. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,286.7,66,212,2018
10,Usat. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,483.7,67,213,2018
10,Usat. Milers d'euros,Sant Martí,el Poblenou,356.3,68,214,2018
10,Usat. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,556.3,69,215,2018
10,Usat. Milers d'euros,Sant Martí,el Besòs i el Maresme,219.6,70,216,2018
10,Usat. Milers d'euros,Sant Martí,Provençals del Poblenou,283.8,71,217,2018
10,Usat. Milers d'euros,Sant Martí,Sant Martí de Provençals,255,72,218,2018
10,Usat. Milers d'euros,Sant Martí,la Verneda i la Pau,160.4,73,219,2018
1,Total. Euros/m2 construït,Ciutat Vella,el Raval,3969.8,1,220,2018
1,Total. Euros/m2 construït,Ciutat Vella,el Barri Gòtic,5162.7,2,221,2018
1,Total. Euros/m2 construït,Ciutat Vella,la Barceloneta,4905.4,3,222,2018
1,Total. Euros/m2 construït,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5169.4,4,223,2018
2,Total. Euros/m2 construït,Eixample,el Fort Pienc,4650.6,5,224,2018
2,Total. Euros/m2 construït,Eixample,la Sagrada Família,3833.1,6,225,2018
2,Total. Euros/m2 construït,Eixample,la Dreta de l'Eixample,4436.4,7,226,2018
2,Total. Euros/m2 construït,Eixample,l'Antiga Esquerra de l'Eixample,4503.3,8,227,2018
2,Total. Euros/m2 construït,Eixample,la Nova Esquerra de l'Eixample,4116.8,9,228,2018
2,Total. Euros/m2 construït,Eixample,Sant Antoni,4140.6,10,229,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,el Poble Sec,3942.4,11,230,2018
8,Nou. Euros/m2 construït,Nou Barris,la Trinitat Nova,NA,53,345,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,la Marina del Prat Vermell,1087.5,12,231,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,la Marina de Port,2961,13,232,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,la Font de la Guatlla,3952.1,14,233,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,Hostafrancs,3479.6,15,234,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,la Bordeta,3495.2,16,235,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,Sants - Badal,3607.6,17,236,2018
3,Total. Euros/m2 construït,Sants-Montjuïc,Sants,3230.4,18,237,2018
4,Total. Euros/m2 construït,Les Corts,les Corts,4361.2,19,238,2018
4,Total. Euros/m2 construït,Les Corts,la Maternitat i Sant Ramon,4367.3,20,239,2018
4,Total. Euros/m2 construït,Les Corts,Pedralbes,6276.5,21,240,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",3139.2,22,241,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sarrià,5950.6,23,242,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,les Tres Torres,6152.2,24,243,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,5738,25,244,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,5253.3,26,245,2018
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,el Putxet i el Farró,5313.2,27,246,2018
6,Total. Euros/m2 construït,Gràcia,Vallcarca i els Penitents,3775.1,28,247,2018
6,Total. Euros/m2 construït,Gràcia,el Coll,3487.3,29,248,2018
6,Total. Euros/m2 construït,Gràcia,la Salut,4217.8,30,249,2018
6,Total. Euros/m2 construït,Gràcia,la Vila de Gràcia,4722.1,31,250,2018
6,Total. Euros/m2 construït,Gràcia,el Camp d'en Grassot i Gràcia Nova,4330,32,251,2018
7,Total. Euros/m2 construït,Horta-Guinardó,el Baix Guinardó,4007.9,33,252,2018
7,Total. Euros/m2 construït,Horta-Guinardó,Can Baró,3266,34,253,2018
7,Total. Euros/m2 construït,Horta-Guinardó,el Guinardó,3005.2,35,254,2018
7,Total. Euros/m2 construït,Horta-Guinardó,la Font d'en Fargues,3436.8,36,255,2018
7,Total. Euros/m2 construït,Horta-Guinardó,el Carmel,2431.7,37,256,2018
7,Total. Euros/m2 construït,Horta-Guinardó,la Teixonera,2536.2,38,257,2018
7,Total. Euros/m2 construït,Horta-Guinardó,Sant Genís dels Agudells,2302.8,39,258,2018
7,Total. Euros/m2 construït,Horta-Guinardó,Montbau,2602.7,40,259,2018
7,Total. Euros/m2 construït,Horta-Guinardó,la Vall d'Hebron,3806.8,41,260,2018
7,Total. Euros/m2 construït,Horta-Guinardó,la Clota,1844.1,42,261,2018
7,Total. Euros/m2 construït,Horta-Guinardó,Horta,3092.9,43,262,2018
8,Total. Euros/m2 construït,Nou Barris,Vilapicina i la Torre Llobeta,2812.8,44,263,2018
8,Total. Euros/m2 construït,Nou Barris,Porta,2264.1,45,264,2018
8,Total. Euros/m2 construït,Nou Barris,el Turó de la Peira,2084.6,46,265,2018
8,Total. Euros/m2 construït,Nou Barris,Can Peguera,1542,47,266,2018
8,Total. Euros/m2 construït,Nou Barris,la Guineueta,2464.3,48,267,2018
8,Total. Euros/m2 construït,Nou Barris,Canyelles,2210.2,49,268,2018
8,Total. Euros/m2 construït,Nou Barris,les Roquetes,2726.5,50,269,2018
8,Total. Euros/m2 construït,Nou Barris,Verdun,2394.8,51,270,2018
8,Total. Euros/m2 construït,Nou Barris,la Prosperitat,2408.6,52,271,2018
8,Total. Euros/m2 construït,Nou Barris,la Trinitat Nova,1556.1,53,272,2018
8,Total. Euros/m2 construït,Nou Barris,Torre Baró,709.9,54,273,2018
8,Total. Euros/m2 construït,Nou Barris,Ciutat Meridiana,1552.2,55,274,2018
8,Total. Euros/m2 construït,Nou Barris,Vallbona,2160.7,56,275,2018
9,Total. Euros/m2 construït,Sant Andreu,la Trinitat Vella,2174.9,57,276,2018
9,Total. Euros/m2 construït,Sant Andreu,Baró de Viver,3196.1,58,277,2018
9,Total. Euros/m2 construït,Sant Andreu,el Bon Pastor,2313.9,59,278,2018
9,Total. Euros/m2 construït,Sant Andreu,Sant Andreu,3122.5,60,279,2018
9,Total. Euros/m2 construït,Sant Andreu,la Sagrera,3753.6,61,280,2018
9,Total. Euros/m2 construït,Sant Andreu,el Congrés i els Indians,2696,62,281,2018
9,Total. Euros/m2 construït,Sant Andreu,Navas,4546.6,63,282,2018
10,Total. Euros/m2 construït,Sant Martí,el Camp de l'Arpa del Clot,4063.6,64,283,2018
10,Total. Euros/m2 construït,Sant Martí,el Clot,4422.7,65,284,2018
10,Total. Euros/m2 construït,Sant Martí,el Parc i la Llacuna del Poblenou,3979,66,285,2018
10,Total. Euros/m2 construït,Sant Martí,la Vila Olímpica del Poblenou,4304,67,286,2018
10,Total. Euros/m2 construït,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,5745.9,69,288,2018
10,Total. Euros/m2 construït,Sant Martí,el Besòs i el Maresme,3036,70,289,2018
10,Total. Euros/m2 construït,Sant Martí,Provençals del Poblenou,4037.3,71,290,2018
10,Total. Euros/m2 construït,Sant Martí,Sant Martí de Provençals,3369.5,72,291,2018
10,Total. Euros/m2 construït,Sant Martí,la Verneda i la Pau,2297.7,73,292,2018
1,Nou. Euros/m2 construït,Ciutat Vella,el Raval,7344.2,1,293,2018
1,Nou. Euros/m2 construït,Ciutat Vella,el Barri Gòtic,7234,2,294,2018
1,Nou. Euros/m2 construït,Ciutat Vella,la Barceloneta,4862.1,3,295,2018
1,Nou. Euros/m2 construït,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",9184.9,4,296,2018
2,Nou. Euros/m2 construït,Eixample,el Fort Pienc,4770.1,5,297,2018
2,Nou. Euros/m2 construït,Eixample,la Sagrada Família,NA,6,298,2018
2,Nou. Euros/m2 construït,Eixample,la Dreta de l'Eixample,3669.2,7,299,2018
2,Nou. Euros/m2 construït,Eixample,l'Antiga Esquerra de l'Eixample,4489.5,8,300,2018
2,Nou. Euros/m2 construït,Eixample,la Nova Esquerra de l'Eixample,3283.2,9,301,2018
2,Nou. Euros/m2 construït,Eixample,Sant Antoni,3412.4,10,302,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,el Poble Sec,NA,11,303,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Marina del Prat Vermell,NA,12,304,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Marina de Port,NA,13,305,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Font de la Guatlla,NA,14,306,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,Hostafrancs,3590.3,15,307,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Bordeta,3534.4,16,308,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,Sants - Badal,4582,17,309,2018
3,Nou. Euros/m2 construït,Sants-Montjuïc,Sants,4575.3,18,310,2018
4,Nou. Euros/m2 construït,Les Corts,les Corts,5896,19,311,2018
4,Nou. Euros/m2 construït,Les Corts,la Maternitat i Sant Ramon,5611.2,20,312,2018
4,Nou. Euros/m2 construït,Les Corts,Pedralbes,NA,21,313,2018
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",NA,22,314,2018
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,Sarrià,4251.9,23,315,2018
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,les Tres Torres,NA,24,316,2018
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,6647.7,25,317,2018
