Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
1,Total. Milers d'euros,Ciutat Vella,1,el Raval,167.5,1,1,2021
1,Total. Milers d'euros,Ciutat Vella,1,el Barri Gòtic,298.7,2,2,2021
1,Total. Milers d'euros,Ciutat Vella,1,la Barceloneta,184.7,3,3,2021
1,Total. Milers d'euros,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",254.6,4,4,2021
2,Total. Milers d'euros,Eixample,1,el Fort Pienc,301.8,5,5,2021
2,Total. Milers d'euros,Eixample,1,la Sagrada Família,306.5,6,6,2021
2,Total. Milers d'euros,Eixample,1,la Dreta de l'Eixample,661.2,7,7,2021
2,Total. Milers d'euros,Eixample,1,l'Antiga Esquerra de l'Eixample,429.5,8,8,2021
2,Total. Milers d'euros,Eixample,1,la Nova Esquerra de l'Eixample,334.9,9,9,2021
2,Total. Milers d'euros,Eixample,1,Sant Antoni,337.9,10,10,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,el Poble Sec,248.5,11,11,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina del Prat Vermell,274.9,12,12,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina de Port,213.9,13,13,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,la Font de la Guatlla,250.5,14,14,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,Hostafrancs,258.4,15,15,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,la Bordeta,209.4,16,16,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants - Badal,239.8,17,17,2021
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants,276.8,18,18,2021
4,Total. Milers d'euros,Les Corts,1,les Corts,425.5,19,19,2021
4,Total. Milers d'euros,Les Corts,1,la Maternitat i Sant Ramon,343.2,20,20,2021
4,Total. Milers d'euros,Les Corts,1,Pedralbes,984.0,21,21,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",393.9,22,22,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sarrià,576.7,23,23,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,les Tres Torres,1005.4,24,24,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,863.8,25,25,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,923.4,26,26,2021
8,Nou. Euros/m2 construït,Nou Barris,2,Porta,--,45,775,2021
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,el Putxet i el Farró,443.7,27,27,2021
6,Total. Milers d'euros,Gràcia,1,Vallcarca i els Penitents,383.5,28,28,2021
6,Total. Milers d'euros,Gràcia,1,el Coll,207.3,29,29,2021
6,Total. Milers d'euros,Gràcia,1,la Salut,289.6,30,30,2021
6,Total. Milers d'euros,Gràcia,1,la Vila de Gràcia,345.3,31,31,2021
6,Total. Milers d'euros,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,364.8,32,32,2021
7,Total. Milers d'euros,Horta-Guinardó,1,el Baix Guinardó,217.9,33,33,2021
7,Total. Milers d'euros,Horta-Guinardó,1,Can Baró,224.7,34,34,2021
7,Total. Milers d'euros,Horta-Guinardó,1,el Guinardó,207.3,35,35,2021
7,Total. Milers d'euros,Horta-Guinardó,1,la Font d'en Fargues,358.3,36,36,2021
7,Total. Milers d'euros,Horta-Guinardó,1,el Carmel,136.8,37,37,2021
7,Total. Milers d'euros,Horta-Guinardó,1,la Teixonera,170.1,38,38,2021
7,Total. Milers d'euros,Horta-Guinardó,1,Sant Genís dels Agudells,156.5,39,39,2021
7,Total. Milers d'euros,Horta-Guinardó,1,Montbau,170.7,40,40,2021
7,Total. Milers d'euros,Horta-Guinardó,1,la Vall d'Hebron,236.7,41,41,2021
7,Total. Milers d'euros,Horta-Guinardó,1,la Clota,--,42,42,2021
7,Total. Milers d'euros,Horta-Guinardó,1,Horta,260.3,43,43,2021
8,Total. Milers d'euros,Nou Barris,1,Vilapicina i la Torre Llobeta,227.3,44,44,2021
8,Total. Milers d'euros,Nou Barris,1,Porta,142.9,45,45,2021
8,Total. Milers d'euros,Nou Barris,1,el Turó de la Peira,141.6,46,46,2021
8,Total. Milers d'euros,Nou Barris,1,Can Peguera,215.0,47,47,2021
8,Total. Milers d'euros,Nou Barris,1,la Guineueta,195.5,48,48,2021
8,Total. Milers d'euros,Nou Barris,1,Canyelles,209.5,49,49,2021
8,Total. Milers d'euros,Nou Barris,1,les Roquetes,123.8,50,50,2021
8,Total. Milers d'euros,Nou Barris,1,Verdun,156.3,51,51,2021
8,Total. Milers d'euros,Nou Barris,1,la Prosperitat,145.1,52,52,2021
8,Total. Milers d'euros,Nou Barris,1,la Trinitat Nova,105.1,53,53,2021
8,Total. Milers d'euros,Nou Barris,1,Torre Baró,288.5,54,54,2021
8,Total. Milers d'euros,Nou Barris,1,Ciutat Meridiana,50.2,55,55,2021
