Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
1,Total. Milers d'euros,Ciutat Vella,1,el Raval,236.7,1,1,2019
1,Total. Milers d'euros,Ciutat Vella,1,el Barri Gòtic,411.7,2,2,2019
1,Total. Milers d'euros,Ciutat Vella,1,la Barceloneta,215.6,3,3,2019
1,Total. Milers d'euros,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",306.0,4,4,2019
2,Total. Milers d'euros,Eixample,1,el Fort Pienc,582.2,5,5,2019
2,Total. Milers d'euros,Eixample,1,la Sagrada Família,297.2,6,6,2019
2,Total. Milers d'euros,Eixample,1,la Dreta de l'Eixample,475.3,7,7,2019
2,Total. Milers d'euros,Eixample,1,l'Antiga Esquerra de l'Eixample,396.3,8,8,2019
2,Total. Milers d'euros,Eixample,1,la Nova Esquerra de l'Eixample,342.2,9,9,2019
2,Total. Milers d'euros,Eixample,1,Sant Antoni,356.7,10,10,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,el Poble Sec,324.7,11,11,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina del Prat Vermell,N/A,12,12,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina de Port,191.2,13,13,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,la Font de la Guatlla,247.7,14,14,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,Hostafrancs,210.6,15,15,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,la Bordeta,188.6,16,16,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants - Badal,248.0,17,17,2019
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants,290.6,18,18,2019
4,Total. Milers d'euros,Les Corts,1,les Corts,411.6,19,19,2019
4,Total. Milers d'euros,Les Corts,1,la Maternitat i Sant Ramon,410.5,20,20,2019
4,Total. Milers d'euros,Les Corts,1,Pedralbes,1011.8,21,21,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",380.6,22,22,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sarrià,734.1,23,23,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,les Tres Torres,853.2,24,24,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,747.4,25,25,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,637.0,26,26,2019
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,el Putxet i el Farró,448.6,27,27,2019
6,Total. Milers d'euros,Gràcia,1,Vallcarca i els Penitents,273.1,28,28,2019
6,Total. Milers d'euros,Gràcia,1,el Coll,194.4,29,29,2019
6,Total. Milers d'euros,Gràcia,1,la Salut,379.6,30,30,2019
6,Total. Milers d'euros,Gràcia,1,la Vila de Gràcia,468.5,31,31,2019
6,Total. Milers d'euros,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,340.5,32,32,2019
7,Total. Milers d'euros,Horta-Guinardó,1,el Baix Guinardó,280.3,33,33,2019
7,Total. Milers d'euros,Horta-Guinardó,1,Can Baró,252.2,34,34,2019
7,Total. Milers d'euros,Horta-Guinardó,1,el Guinardó,262.8,35,35,2019
7,Total. Milers d'euros,Horta-Guinardó,1,la Font d'en Fargues,202.6,36,36,2019
7,Total. Milers d'euros,Horta-Guinardó,1,el Carmel,255.6,37,37,2019
7,Total. Milers d'euros,Horta-Guinardó,1,la Teixonera,147.1,38,38,2019
7,Total. Milers d'euros,Horta-Guinardó,1,Sant Genís dels Agudells,170.9,39,39,2019
7,Total. Milers d'euros,Horta-Guinardó,1,Montbau,159.9,40,40,2019
7,Total. Milers d'euros,Horta-Guinardó,1,la Vall d'Hebron,222.3,41,41,2019
